Flight Number,Date,Origin,Destination,Scheduled Departure Time,,Actual Departure Time,,Scheduled Arrival Time,,Actual Arrival Time,,Flight Duration,Delay (in minutes),Cancellation,Reason for Delay,Number of Passengers,Customer Satisfaction Score
SH9455,29-02-2024,ORD,DFW,01-01-2023 04:17,,01-01-2023 04:41,,01-01-2023 08:45,,01-01-2023 09:47,,268,62,No,Crew Unavailability,134,2
SH0342,26-07-2025,ATL,LAS,01-01-2023 00:34,,01-01-2023 00:49,,01-01-2023 02:55,,01-01-2023 03:39,,141,44,No,Weather,133,7
SH8842,23-05-2023,MIA,ORD,01-01-2023 01:57,,01-01-2023 03:43,,01-01-2023 04:22,,01-01-2023 04:32,,145,10,No,Air Traffic,287,2
SH5053,10-05-2023,DFW,LAX,01-01-2023 11:15,,01-01-2023 11:18,,01-01-2023 12:45,,01-01-2023 14:07,,90,82,No,Air Traffic,141,7
SH3042,24-11-2023,SEA,ATL,01-01-2023 05:52,,01-01-2023 07:36,,01-01-2023 09:14,,01-01-2023 10:32,,202,78,No,Air Traffic,246,1
SH6969,05-09-2023,DEN,DEN,01-01-2023 15:47,,01-01-2023 16:25,,01-01-2023 19:43,,01-01-2023 20:29,,236,46,No,Crew Unavailability,283,9
SH4543,03-12-2023,LAS,SEA,01-01-2023 12:49,,01-01-2023 12:54,,01-01-2023 17:21,,01-01-2023 18:48,,272,87,No,Crew Unavailability,79,6
SH4282,08-07-2025,ORD,LAX,01-01-2023 14:11,,01-01-2023 15:12,,01-01-2023 17:19,,01-01-2023 18:51,,188,92,No,None,262,1
SH9837,07-06-2024,ATL,ATL,01-01-2023 21:47,,01-01-2023 23:22,,02-01-2023 00:46,,02-01-2023 01:38,,179,52,No,Technical Issue,98,9
SH0473,09-06-2024,MIA,LAS,01-01-2023 09:07,,01-01-2023 10:27,,01-01-2023 11:29,,01-01-2023 12:01,,142,32,No,Weather,229,2
SH6828,22-05-2024,SFO,LAS,01-01-2023 18:29,,01-01-2023 19:48,,01-01-2023 22:24,,01-01-2023 23:11,,235,47,No,None,131,8
SH9325,21-08-2025,MIA,ATL,01-01-2023 01:21,,01-01-2023 02:30,,01-01-2023 03:08,,01-01-2023 03:24,,107,16,No,None,164,6
SH8449,24-06-2025,JFK,ORD,01-01-2023 22:42,,02-01-2023 00:10,,02-01-2023 00:06,,02-01-2023 01:52,,84,106,No,Crew Unavailability,282,2
SH2662,04-04-2023,DEN,DEN,01-01-2023 17:10,,01-01-2023 17:11,,01-01-2023 18:36,,01-01-2023 18:47,,86,11,Yes,Technical Issue,299,7
SH8993,20-07-2023,DFW,MIA,01-01-2023 02:31,,01-01-2023 02:46,,01-01-2023 07:37,,01-01-2023 09:36,,306,119,No,Weather,279,9
SH2052,25-02-2024,LAS,DFW,01-01-2023 14:42,,01-01-2023 14:59,,01-01-2023 18:38,,01-01-2023 20:13,,236,95,No,None,148,8
SH9487,02-07-2024,ORD,LAS,01-01-2023 20:51,,01-01-2023 22:38,,01-01-2023 22:39,,01-01-2023 23:23,,108,44,No,Crew Unavailability,80,6
SH1562,23-03-2023,SFO,ORD,01-01-2023 15:20,,01-01-2023 16:29,,01-01-2023 18:53,,01-01-2023 19:42,,213,49,No,Weather,234,10
SH6451,06-08-2023,LAS,ORD,01-01-2023 22:57,,01-01-2023 23:33,,02-01-2023 01:54,,02-01-2023 03:46,,177,112,No,Air Traffic,209,5
SH7183,18-06-2025,ORD,DFW,01-01-2023 07:25,,01-01-2023 07:43,,01-01-2023 09:04,,01-01-2023 10:52,,99,108,No,Weather,248,5
SH6461,15-09-2023,ATL,JFK,01-01-2023 21:40,,01-01-2023 22:04,,02-01-2023 01:08,,02-01-2023 02:28,,208,80,No,Technical Issue,222,1
SH8946,04-04-2025,LAS,SFO,01-01-2023 02:00,,01-01-2023 03:09,,01-01-2023 04:19,,01-01-2023 04:58,,139,39,No,Air Traffic,197,10
SH7131,29-01-2025,ATL,LAX,01-01-2023 00:27,,01-01-2023 01:29,,01-01-2023 04:49,,01-01-2023 06:05,,262,76,No,Technical Issue,131,5
SH2145,20-08-2025,SFO,MIA,01-01-2023 19:34,,01-01-2023 20:25,,01-01-2023 21:02,,01-01-2023 21:44,,88,42,No,None,65,5
SH4109,18-06-2024,LAX,LAX,01-01-2023 13:39,,01-01-2023 13:50,,01-01-2023 15:43,,01-01-2023 16:50,,124,67,No,Technical Issue,128,6
SH9577,02-04-2023,LAX,SEA,01-01-2023 19:12,,01-01-2023 20:45,,01-01-2023 21:52,,01-01-2023 23:52,,160,120,No,Air Traffic,64,8
SH5368,25-10-2023,ATL,JFK,01-01-2023 07:12,,01-01-2023 08:56,,01-01-2023 12:47,,01-01-2023 14:12,,335,85,No,Air Traffic,258,3
SH1052,25-09-2023,SEA,SFO,01-01-2023 16:44,,01-01-2023 17:47,,01-01-2023 20:14,,01-01-2023 21:44,,210,90,No,None,51,10
SH3715,06-05-2025,SEA,LAX,01-01-2023 02:09,,01-01-2023 02:40,,01-01-2023 06:46,,01-01-2023 08:32,,277,106,No,Air Traffic,195,2
SH1161,22-08-2024,SFO,ORD,01-01-2023 21:55,,01-01-2023 22:22,,02-01-2023 01:15,,02-01-2023 01:21,,200,6,No,None,178,10
SH6121,14-04-2023,SEA,SFO,01-01-2023 11:40,,01-01-2023 13:12,,01-01-2023 17:11,,01-01-2023 18:40,,331,89,No,None,199,1
SH6091,15-09-2023,SEA,DEN,01-01-2023 19:30,,01-01-2023 20:46,,01-01-2023 22:45,,02-01-2023 00:00,,195,75,No,None,110,5
SH3703,21-06-2023,DEN,SEA,01-01-2023 16:35,,01-01-2023 17:42,,01-01-2023 19:18,,01-01-2023 20:29,,163,71,No,Technical Issue,233,2
SH7640,11-08-2025,SFO,JFK,01-01-2023 06:01,,01-01-2023 07:53,,01-01-2023 08:51,,01-01-2023 10:29,,170,98,No,Weather,153,1
SH1971,24-10-2023,SFO,ATL,01-01-2023 05:10,,01-01-2023 07:04,,01-01-2023 09:41,,01-01-2023 10:00,,271,19,No,Technical Issue,176,8
SH8634,22-07-2024,LAS,ATL,01-01-2023 16:07,,01-01-2023 16:41,,01-01-2023 22:01,,01-01-2023 23:10,,354,69,No,Weather,175,2
SH8280,01-04-2023,ATL,JFK,01-01-2023 05:33,,01-01-2023 05:35,,01-01-2023 07:44,,01-01-2023 09:30,,131,106,No,None,278,6
SH4116,20-07-2025,LAS,SEA,01-01-2023 18:54,,01-01-2023 20:09,,01-01-2023 22:51,,01-01-2023 23:22,,237,31,No,None,296,8
SH5223,28-01-2023,DFW,SFO,01-01-2023 05:28,,01-01-2023 05:51,,01-01-2023 10:55,,01-01-2023 12:10,,327,75,No,Air Traffic,266,6
SH6090,30-10-2024,SFO,JFK,01-01-2023 05:19,,01-01-2023 07:19,,01-01-2023 11:07,,01-01-2023 12:49,,348,102,No,Weather,292,2
SH3648,02-07-2023,DEN,SFO,01-01-2023 17:57,,01-01-2023 19:30,,01-01-2023 23:35,,02-01-2023 00:38,,338,63,No,Weather,115,4
SH6675,14-06-2024,SFO,SFO,01-01-2023 22:47,,02-01-2023 00:23,,02-01-2023 01:23,,02-01-2023 02:29,,156,66,No,Technical Issue,142,1
SH0312,31-03-2023,JFK,SEA,01-01-2023 16:20,,01-01-2023 17:53,,01-01-2023 18:34,,01-01-2023 19:11,,134,37,No,Technical Issue,291,1
SH8454,23-05-2023,MIA,ORD,01-01-2023 19:38,,01-01-2023 21:23,,01-01-2023 23:14,,02-01-2023 00:57,,216,103,No,Weather,255,3
SH1832,04-03-2023,DEN,JFK,01-01-2023 23:07,,02-01-2023 00:16,,02-01-2023 02:42,,02-01-2023 04:06,,215,84,No,Air Traffic,60,3
SH2983,19-05-2025,SEA,LAX,01-01-2023 15:52,,01-01-2023 17:48,,01-01-2023 17:52,,01-01-2023 18:40,,120,48,Yes,Technical Issue,148,1
SH5102,17-01-2025,ORD,ATL,01-01-2023 20:45,,01-01-2023 22:43,,02-01-2023 02:14,,02-01-2023 03:28,,329,74,No,Crew Unavailability,63,5
SH5507,13-01-2024,SEA,ATL,01-01-2023 09:54,,01-01-2023 11:51,,01-01-2023 11:22,,01-01-2023 12:13,,88,51,No,Technical Issue,219,6
SH0890,20-03-2024,SFO,LAS,01-01-2023 20:13,,01-01-2023 21:32,,01-01-2023 21:26,,01-01-2023 22:12,,73,46,No,Crew Unavailability,224,4
SH8385,25-07-2024,SEA,LAS,01-01-2023 00:19,,01-01-2023 02:09,,01-01-2023 05:11,,01-01-2023 05:18,,292,7,No,None,296,1
SH4553,24-03-2023,JFK,SFO,01-01-2023 19:59,,01-01-2023 21:25,,01-01-2023 22:58,,02-01-2023 00:39,,179,101,No,Crew Unavailability,123,3
SH3172,24-09-2025,LAX,MIA,01-01-2023 07:21,,01-01-2023 08:30,,01-01-2023 09:00,,01-01-2023 09:29,,99,29,No,None,158,2
SH2173,21-05-2023,LAS,LAS,01-01-2023 12:28,,01-01-2023 14:15,,01-01-2023 17:00,,01-01-2023 17:07,,272,7,No,Technical Issue,112,5
SH4007,26-01-2024,LAX,DEN,01-01-2023 22:28,,02-01-2023 00:05,,02-01-2023 03:14,,02-01-2023 03:45,,286,31,No,None,285,4
SH1051,12-09-2024,SEA,DFW,01-01-2023 08:51,,01-01-2023 10:28,,01-01-2023 11:41,,01-01-2023 12:25,,170,44,No,Technical Issue,150,10
SH3093,17-03-2025,LAS,MIA,01-01-2023 09:01,,01-01-2023 10:16,,01-01-2023 10:32,,01-01-2023 10:53,,91,21,No,None,270,3
SH9118,29-05-2023,LAS,JFK,01-01-2023 00:31,,01-01-2023 01:54,,01-01-2023 03:44,,01-01-2023 03:48,,193,4,No,Air Traffic,85,8
SH3513,09-01-2025,ORD,DEN,01-01-2023 18:39,,01-01-2023 19:02,,01-01-2023 19:42,,01-01-2023 20:12,,63,30,No,Crew Unavailability,137,10
SH4354,05-03-2024,MIA,LAX,01-01-2023 20:04,,01-01-2023 20:23,,01-01-2023 22:27,,01-01-2023 23:36,,143,69,Yes,Weather,66,2
SH9848,04-06-2025,MIA,ATL,01-01-2023 11:23,,01-01-2023 11:27,,01-01-2023 16:22,,01-01-2023 17:46,,299,84,No,Technical Issue,279,6
SH5411,22-06-2023,MIA,JFK,01-01-2023 04:50,,01-01-2023 05:10,,01-01-2023 05:52,,01-01-2023 05:58,,62,6,No,Air Traffic,181,7
SH5909,15-03-2025,DFW,ORD,01-01-2023 04:43,,01-01-2023 05:11,,01-01-2023 08:40,,01-01-2023 09:16,,237,36,No,None,226,4
SH4288,27-08-2023,LAX,SFO,01-01-2023 04:06,,01-01-2023 04:18,,01-01-2023 07:32,,01-01-2023 09:04,,206,92,No,None,287,7
SH5804,09-09-2023,LAS,MIA,01-01-2023 17:12,,01-01-2023 18:12,,01-01-2023 18:43,,01-01-2023 19:11,,91,28,No,Air Traffic,106,7
SH0091,25-02-2023,LAX,DEN,01-01-2023 01:09,,01-01-2023 02:24,,01-01-2023 06:03,,01-01-2023 06:43,,294,40,No,None,69,4
SH6330,18-07-2024,SFO,ORD,01-01-2023 19:04,,01-01-2023 19:05,,01-01-2023 22:40,,02-01-2023 00:17,,216,97,No,Technical Issue,294,2
SH7889,26-07-2023,SEA,LAS,01-01-2023 11:13,,01-01-2023 11:14,,01-01-2023 15:41,,01-01-2023 17:28,,268,107,No,Weather,263,7
SH9888,06-07-2023,SFO,DFW,01-01-2023 12:59,,01-01-2023 13:21,,01-01-2023 14:55,,01-01-2023 15:38,,116,43,Yes,Weather,254,2
SH9568,25-12-2023,MIA,DEN,01-01-2023 11:49,,01-01-2023 12:09,,01-01-2023 17:09,,01-01-2023 18:38,,320,89,No,Air Traffic,132,8
SH1298,11-11-2024,ATL,SEA,01-01-2023 23:59,,02-01-2023 00:23,,02-01-2023 02:22,,02-01-2023 03:57,,143,95,No,Air Traffic,127,7
SH0505,01-08-2025,LAS,SFO,01-01-2023 23:12,,02-01-2023 00:16,,02-01-2023 02:02,,02-01-2023 03:57,,170,115,No,None,189,2
SH9931,12-08-2023,LAX,LAX,01-01-2023 08:30,,01-01-2023 10:10,,01-01-2023 11:00,,01-01-2023 12:15,,150,75,No,Air Traffic,162,1
SH1156,11-12-2023,SEA,JFK,01-01-2023 11:03,,01-01-2023 11:58,,01-01-2023 16:22,,01-01-2023 17:08,,319,46,No,None,53,2
SH3039,12-08-2025,SFO,JFK,01-01-2023 16:24,,01-01-2023 17:13,,01-01-2023 19:20,,01-01-2023 19:31,,176,11,No,Technical Issue,300,2
SH5970,15-01-2024,ATL,LAS,01-01-2023 21:59,,01-01-2023 23:17,,01-01-2023 23:19,,01-01-2023 23:24,,80,5,No,Crew Unavailability,244,3
SH6996,15-04-2024,DFW,DFW,01-01-2023 16:35,,01-01-2023 17:22,,01-01-2023 18:48,,01-01-2023 20:02,,133,74,No,Crew Unavailability,176,5
SH3781,25-02-2023,MIA,JFK,01-01-2023 02:14,,01-01-2023 02:19,,01-01-2023 07:14,,01-01-2023 08:55,,300,101,No,Air Traffic,169,9
SH4180,18-12-2023,LAS,SFO,01-01-2023 22:17,,01-01-2023 23:46,,02-01-2023 02:34,,02-01-2023 02:38,,257,4,No,None,156,8
SH6287,23-07-2024,LAX,ORD,01-01-2023 15:21,,01-01-2023 16:19,,01-01-2023 17:10,,01-01-2023 17:29,,109,19,No,Air Traffic,184,9
SH0047,03-09-2023,DFW,SFO,01-01-2023 14:44,,01-01-2023 15:21,,01-01-2023 16:11,,01-01-2023 16:11,,87,0,No,Technical Issue,68,6
SH1173,27-05-2025,SEA,SFO,01-01-2023 16:53,,01-01-2023 18:34,,01-01-2023 19:48,,01-01-2023 21:04,,175,76,No,Air Traffic,291,1
SH8583,16-10-2023,ORD,SEA,01-01-2023 15:39,,01-01-2023 16:28,,01-01-2023 21:03,,01-01-2023 22:06,,324,63,No,None,291,2
SH2536,28-06-2025,ORD,SFO,01-01-2023 18:27,,01-01-2023 20:21,,01-01-2023 23:24,,01-01-2023 23:25,,297,1,No,Technical Issue,158,7
SH0110,09-03-2024,LAX,LAS,01-01-2023 03:26,,01-01-2023 03:35,,01-01-2023 07:50,,01-01-2023 08:07,,264,17,No,Weather,64,9
SH8751,14-02-2023,ATL,ATL,01-01-2023 08:31,,01-01-2023 09:43,,01-01-2023 14:01,,01-01-2023 14:44,,330,43,No,Air Traffic,296,5
SH0718,31-07-2025,DEN,ATL,01-01-2023 02:01,,01-01-2023 03:35,,01-01-2023 07:37,,01-01-2023 08:31,,336,54,No,None,60,4
SH2615,13-10-2024,DEN,DFW,01-01-2023 01:38,,01-01-2023 02:25,,01-01-2023 03:07,,01-01-2023 04:42,,89,95,No,Air Traffic,229,8
SH1883,30-12-2023,DFW,LAX,01-01-2023 21:04,,01-01-2023 21:29,,02-01-2023 02:12,,02-01-2023 02:50,,308,38,No,Technical Issue,236,10
SH7531,16-12-2023,DEN,SFO,01-01-2023 09:16,,01-01-2023 09:48,,01-01-2023 12:18,,01-01-2023 13:32,,182,74,No,Weather,90,6
SH6507,28-05-2023,DEN,DEN,01-01-2023 00:07,,01-01-2023 01:57,,01-01-2023 01:07,,01-01-2023 02:25,,60,78,No,Weather,122,2
SH2205,21-09-2025,SFO,SEA,01-01-2023 23:47,,02-01-2023 01:06,,02-01-2023 04:54,,02-01-2023 05:08,,307,14,No,Air Traffic,251,2
SH4378,30-05-2024,ORD,DFW,01-01-2023 10:56,,01-01-2023 11:07,,01-01-2023 15:32,,01-01-2023 17:29,,276,117,No,None,127,2
SH7264,18-08-2025,LAX,SEA,01-01-2023 12:51,,01-01-2023 14:18,,01-01-2023 14:07,,01-01-2023 14:14,,76,7,No,Weather,220,6
SH8945,02-12-2023,DEN,JFK,01-01-2023 02:29,,01-01-2023 03:39,,01-01-2023 04:39,,01-01-2023 05:47,,130,68,No,Weather,145,1
SH8460,17-05-2024,ATL,LAS,01-01-2023 06:07,,01-01-2023 07:49,,01-01-2023 09:23,,01-01-2023 10:44,,196,81,No,Weather,258,7
SH3137,28-05-2024,LAX,JFK,01-01-2023 19:54,,01-01-2023 20:35,,02-01-2023 01:30,,02-01-2023 03:14,,336,104,No,Crew Unavailability,233,2
SH6360,12-10-2024,DEN,LAX,01-01-2023 04:05,,01-01-2023 05:06,,01-01-2023 06:25,,01-01-2023 07:16,,140,51,No,Weather,299,6
SH9087,17-01-2023,MIA,DEN,01-01-2023 20:50,,01-01-2023 21:14,,01-01-2023 23:37,,02-01-2023 00:11,,167,34,No,Weather,163,7
SH9540,16-05-2024,SEA,SEA,01-01-2023 07:50,,01-01-2023 09:35,,01-01-2023 13:10,,01-01-2023 13:15,,320,5,No,Technical Issue,186,1
SH9208,06-03-2025,JFK,SFO,01-01-2023 22:19,,01-01-2023 23:21,,02-01-2023 02:46,,02-01-2023 03:09,,267,23,No,Air Traffic,233,3
SH5279,28-03-2023,LAX,LAS,01-01-2023 22:44,,01-01-2023 23:37,,02-01-2023 03:01,,02-01-2023 04:17,,257,76,No,None,138,5
SH5530,11-06-2023,LAX,DFW,01-01-2023 06:46,,01-01-2023 08:34,,01-01-2023 10:12,,01-01-2023 11:17,,206,65,No,Air Traffic,135,7
SH7916,16-05-2023,ORD,DEN,01-01-2023 14:25,,01-01-2023 15:45,,01-01-2023 20:23,,01-01-2023 22:16,,358,113,No,Air Traffic,285,2
SH1822,04-10-2024,DEN,SEA,01-01-2023 14:56,,01-01-2023 16:13,,01-01-2023 17:04,,01-01-2023 18:00,,128,56,No,Air Traffic,210,7
SH9268,23-04-2023,LAS,ORD,01-01-2023 12:53,,01-01-2023 13:36,,01-01-2023 17:14,,01-01-2023 17:24,,261,10,No,Technical Issue,295,9
SH4399,15-09-2025,SEA,JFK,01-01-2023 03:17,,01-01-2023 03:35,,01-01-2023 07:55,,01-01-2023 09:41,,278,106,No,None,209,9
SH2266,27-06-2023,JFK,ORD,01-01-2023 06:47,,01-01-2023 08:39,,01-01-2023 11:14,,01-01-2023 12:09,,267,55,No,None,219,7
SH9380,11-10-2023,ATL,MIA,01-01-2023 18:45,,01-01-2023 20:30,,02-01-2023 00:37,,02-01-2023 02:17,,352,100,No,Crew Unavailability,281,5
SH0324,16-04-2024,DFW,ORD,01-01-2023 18:04,,01-01-2023 19:11,,01-01-2023 20:33,,01-01-2023 21:04,,149,31,No,Weather,132,9
SH7079,06-09-2025,DFW,LAS,01-01-2023 03:49,,01-01-2023 05:47,,01-01-2023 09:33,,01-01-2023 10:01,,344,28,No,Air Traffic,249,4
SH3344,18-01-2024,LAX,LAX,01-01-2023 00:48,,01-01-2023 01:27,,01-01-2023 03:46,,01-01-2023 04:31,,178,45,No,Weather,294,1
SH9688,29-06-2025,DEN,MIA,01-01-2023 00:43,,01-01-2023 02:31,,01-01-2023 04:37,,01-01-2023 05:04,,234,27,No,Weather,130,4
SH2667,19-08-2024,SFO,SFO,01-01-2023 23:13,,01-01-2023 23:55,,02-01-2023 03:43,,02-01-2023 04:15,,270,32,Yes,Crew Unavailability,165,10
SH5714,11-09-2024,SEA,DEN,01-01-2023 11:40,,01-01-2023 13:02,,01-01-2023 16:21,,01-01-2023 17:22,,281,61,No,Crew Unavailability,231,10
SH5638,20-09-2023,JFK,MIA,01-01-2023 22:23,,01-01-2023 23:57,,02-01-2023 02:29,,02-01-2023 02:57,,246,28,No,None,187,3
SH3396,16-03-2023,DFW,LAX,01-01-2023 16:42,,01-01-2023 17:43,,01-01-2023 20:02,,01-01-2023 20:30,,200,28,No,Weather,205,8
SH8112,24-09-2023,ATL,MIA,01-01-2023 06:59,,01-01-2023 07:14,,01-01-2023 09:15,,01-01-2023 11:00,,136,105,No,Weather,139,8
SH2009,10-10-2023,SEA,SEA,01-01-2023 13:06,,01-01-2023 13:34,,01-01-2023 14:57,,01-01-2023 15:45,,111,48,No,Air Traffic,188,8
SH7290,14-02-2023,SEA,SEA,01-01-2023 23:34,,02-01-2023 01:03,,02-01-2023 03:07,,02-01-2023 04:11,,213,64,No,Technical Issue,68,5
SH5453,29-12-2023,LAS,JFK,01-01-2023 22:15,,01-01-2023 22:28,,02-01-2023 01:52,,02-01-2023 02:43,,217,51,No,None,169,7
SH3640,10-04-2025,SEA,DFW,01-01-2023 10:18,,01-01-2023 12:00,,01-01-2023 13:55,,01-01-2023 15:54,,217,119,No,Air Traffic,203,9
SH4207,19-06-2025,LAS,ORD,01-01-2023 01:16,,01-01-2023 02:36,,01-01-2023 05:41,,01-01-2023 05:43,,265,2,No,Air Traffic,293,6
SH9447,21-10-2023,ORD,DEN,01-01-2023 23:50,,02-01-2023 00:01,,02-01-2023 02:19,,02-01-2023 02:42,,149,23,No,Technical Issue,170,4
SH5081,02-06-2024,DEN,DEN,01-01-2023 16:37,,01-01-2023 16:53,,01-01-2023 18:00,,01-01-2023 19:25,,83,85,No,None,162,6
SH9116,22-08-2023,SFO,ATL,01-01-2023 03:29,,01-01-2023 03:59,,01-01-2023 09:19,,01-01-2023 10:22,,350,63,No,Technical Issue,163,2
SH3276,20-08-2023,LAX,MIA,01-01-2023 03:57,,01-01-2023 03:57,,01-01-2023 09:56,,01-01-2023 10:27,,359,31,No,None,51,3
SH6326,08-08-2024,SEA,ORD,01-01-2023 20:58,,01-01-2023 22:42,,02-01-2023 01:09,,02-01-2023 01:42,,251,33,No,Weather,234,9
SH9034,27-10-2024,SEA,LAX,01-01-2023 17:15,,01-01-2023 17:54,,01-01-2023 22:12,,01-01-2023 23:42,,297,90,No,Technical Issue,190,5
SH2227,03-02-2024,DEN,MIA,01-01-2023 20:50,,01-01-2023 22:32,,02-01-2023 02:32,,02-01-2023 03:14,,342,42,No,None,106,2
SH7798,07-10-2023,LAX,JFK,01-01-2023 05:18,,01-01-2023 05:43,,01-01-2023 09:35,,01-01-2023 11:00,,257,85,No,Air Traffic,265,2
SH4581,09-03-2024,DEN,ORD,01-01-2023 08:16,,01-01-2023 08:23,,01-01-2023 11:48,,01-01-2023 12:26,,212,38,No,Air Traffic,292,9
SH1062,02-11-2023,SFO,SFO,01-01-2023 16:06,,01-01-2023 16:09,,01-01-2023 17:23,,01-01-2023 17:55,,77,32,No,None,220,10
SH4480,27-03-2023,SEA,ATL,01-01-2023 14:45,,01-01-2023 15:29,,01-01-2023 16:48,,01-01-2023 17:23,,123,35,No,Crew Unavailability,212,9
SH3685,16-06-2024,SEA,SFO,01-01-2023 10:05,,01-01-2023 10:21,,01-01-2023 11:31,,01-01-2023 13:09,,86,98,No,Technical Issue,80,8
SH8774,17-10-2023,MIA,JFK,01-01-2023 10:54,,01-01-2023 11:37,,01-01-2023 16:17,,01-01-2023 16:38,,323,21,No,Weather,232,10
SH4955,03-09-2025,ATL,ORD,01-01-2023 06:13,,01-01-2023 08:00,,01-01-2023 07:30,,01-01-2023 07:44,,77,14,No,Air Traffic,263,10
SH7313,08-05-2025,LAX,LAS,01-01-2023 03:50,,01-01-2023 05:06,,01-01-2023 07:11,,01-01-2023 08:25,,201,74,No,Technical Issue,210,5
SH8975,10-09-2023,MIA,LAS,01-01-2023 15:28,,01-01-2023 16:52,,01-01-2023 19:42,,01-01-2023 20:13,,254,31,No,Crew Unavailability,158,6
SH5562,01-04-2025,ATL,ORD,01-01-2023 05:54,,01-01-2023 07:10,,01-01-2023 08:18,,01-01-2023 09:24,,144,66,No,Air Traffic,216,9
SH0017,07-07-2025,MIA,ATL,01-01-2023 22:06,,01-01-2023 22:06,,02-01-2023 02:55,,02-01-2023 03:01,,289,6,No,Crew Unavailability,216,5
SH3868,10-03-2025,ATL,LAX,01-01-2023 20:06,,01-01-2023 21:28,,02-01-2023 00:27,,02-01-2023 00:31,,261,4,No,Technical Issue,297,3
SH9378,17-05-2024,LAX,DEN,01-01-2023 09:34,,01-01-2023 11:21,,01-01-2023 14:18,,01-01-2023 14:38,,284,20,No,Technical Issue,205,1
SH0464,26-07-2025,MIA,SEA,01-01-2023 18:50,,01-01-2023 20:19,,01-01-2023 21:21,,01-01-2023 22:59,,151,98,No,Air Traffic,193,7
SH9431,30-07-2025,LAS,DFW,01-01-2023 11:34,,01-01-2023 12:37,,01-01-2023 15:35,,01-01-2023 17:14,,241,99,No,Weather,227,7
SH0860,17-05-2023,DFW,SFO,01-01-2023 08:18,,01-01-2023 10:10,,01-01-2023 10:33,,01-01-2023 12:10,,135,97,No,Crew Unavailability,258,10
SH0630,24-03-2023,ATL,ORD,01-01-2023 16:20,,01-01-2023 18:11,,01-01-2023 22:02,,01-01-2023 22:50,,342,48,No,Air Traffic,92,10
SH9937,11-06-2025,MIA,SFO,01-01-2023 12:04,,01-01-2023 12:49,,01-01-2023 17:22,,01-01-2023 19:20,,318,118,No,Crew Unavailability,254,10
SH5416,22-01-2024,LAS,MIA,01-01-2023 21:46,,01-01-2023 22:33,,02-01-2023 01:11,,02-01-2023 01:17,,205,6,No,Air Traffic,202,4
SH6956,06-05-2024,ORD,LAX,01-01-2023 14:08,,01-01-2023 14:14,,01-01-2023 19:54,,01-01-2023 21:28,,346,94,No,Weather,278,6
SH8465,19-04-2023,MIA,ATL,01-01-2023 17:59,,01-01-2023 19:00,,01-01-2023 22:58,,02-01-2023 00:51,,299,113,No,Technical Issue,152,4
SH4692,15-03-2024,LAX,DEN,01-01-2023 01:50,,01-01-2023 02:05,,01-01-2023 03:26,,01-01-2023 04:20,,96,54,No,Weather,122,5
SH4304,17-07-2023,LAX,JFK,01-01-2023 14:08,,01-01-2023 16:07,,01-01-2023 19:12,,01-01-2023 21:04,,304,112,No,None,139,8
SH8170,14-08-2024,LAS,DEN,01-01-2023 08:09,,01-01-2023 08:34,,01-01-2023 09:52,,01-01-2023 11:24,,103,92,No,None,106,3
SH4138,05-06-2025,JFK,LAX,01-01-2023 20:27,,01-01-2023 21:33,,01-01-2023 23:56,,02-01-2023 00:21,,209,25,No,Technical Issue,279,9
SH2763,14-08-2024,LAX,LAX,01-01-2023 06:56,,01-01-2023 08:11,,01-01-2023 09:14,,01-01-2023 11:11,,138,117,No,Technical Issue,247,8
SH4654,08-02-2024,JFK,MIA,01-01-2023 05:31,,01-01-2023 06:53,,01-01-2023 07:36,,01-01-2023 09:03,,125,87,No,Crew Unavailability,239,5
SH1196,22-09-2025,ATL,LAX,01-01-2023 04:28,,01-01-2023 04:29,,01-01-2023 06:06,,01-01-2023 07:15,,98,69,No,None,291,4
SH2880,22-05-2025,SFO,SFO,01-01-2023 13:44,,01-01-2023 15:20,,01-01-2023 18:14,,01-01-2023 19:50,,270,96,No,Weather,255,5
SH2085,28-09-2023,LAX,ORD,01-01-2023 06:45,,01-01-2023 08:19,,01-01-2023 10:16,,01-01-2023 11:45,,211,89,No,Weather,89,8
SH0852,14-04-2025,SFO,LAX,01-01-2023 11:52,,01-01-2023 13:23,,01-01-2023 15:19,,01-01-2023 15:43,,207,24,No,Crew Unavailability,271,4
SH5069,16-06-2023,MIA,LAX,01-01-2023 16:32,,01-01-2023 17:34,,01-01-2023 21:47,,01-01-2023 23:08,,315,81,Yes,Weather,135,8
SH9421,20-05-2024,LAX,ORD,01-01-2023 13:19,,01-01-2023 14:37,,01-01-2023 15:28,,01-01-2023 15:32,,129,4,No,None,300,6
SH3647,23-04-2024,SEA,LAX,01-01-2023 18:07,,01-01-2023 19:52,,01-01-2023 22:05,,01-01-2023 23:14,,238,69,No,Crew Unavailability,261,7
SH3511,26-07-2024,SEA,ORD,01-01-2023 10:10,,01-01-2023 11:20,,01-01-2023 13:12,,01-01-2023 13:33,,182,21,Yes,Technical Issue,54,5
SH9577,15-01-2025,LAX,ORD,01-01-2023 20:29,,01-01-2023 20:34,,02-01-2023 02:09,,02-01-2023 03:39,,340,90,No,Crew Unavailability,252,1
SH0039,02-02-2024,MIA,MIA,01-01-2023 18:20,,01-01-2023 19:54,,01-01-2023 23:38,,02-01-2023 00:12,,318,34,No,Weather,188,2
